group,base_op,size_E,order_G,order_L,index_[G:L],num_twin_ops,trivial,invariant_magmas
"C_2","+ mod 2","2","2","1","2","2","False","4"
"C_2","× mod 2","2","2","1","2","2","False","4"
"C_2","max","2","2","1","2","2","False","4"
"C_2","left-proj","2","2","2","1","1","True","4"
"C_3","+ mod 3","3","3","1","3","3","False","27"
"C_3","× mod 3","3","3","1","3","3","False","27"
"C_3","max","3","3","1","3","3","False","27"
"C_3","left-proj","3","3","3","1","1","True","27"
"C_3","magma-ex3","3","3","1","3","3","False","27"
"C_4","+ mod 4","4","4","1","4","4","False","256"
"C_4","× mod 4","4","4","1","4","4","False","256"
"C_4","max","4","4","1","4","4","False","256"
"C_4","left-proj","4","4","4","1","1","True","256"
"V_4","+ mod 4","4","4","1","4","4","False","256"
"V_4","× mod 4","4","4","1","4","4","False","256"
"V_4","max","4","4","1","4","4","False","256"
"V_4","left-proj","4","4","4","1","1","True","256"
"D_3","+ mod 3","3","6","2","3","3","False","3"
"D_3","× mod 3","3","6","1","6","6","False","3"
"D_3","max","3","6","1","6","6","False","3"
"D_3","left-proj","3","6","6","1","1","True","3"
"D_3","magma-ex3","3","6","2","3","3","False","3"
"D_4","+ mod 4","4","8","2","4","4","False","16"
"D_4","× mod 4","4","8","1","8","8","False","16"
"D_4","max","4","8","1","8","8","False","16"
"D_4","left-proj","4","8","8","1","1","True","16"
"S_3","+ mod 3","3","6","2","3","3","False","3"
"S_3","× mod 3","3","6","1","6","6","False","3"
"S_3","max","3","6","1","6","6","False","3"
"S_3","left-proj","3","6","6","1","1","True","3"
"S_3","magma-ex3","3","6","2","3","3","False","3"
"S_4","+ mod 4","4","24","2","12","12","False","2"
"S_4","× mod 4","4","24","1","24","24","False","2"
"S_4","max","4","24","1","24","24","False","2"
"S_4","left-proj","4","24","24","1","1","True","2"
