family,phi,base,twin_op,latex,trivial
"monogenic ⟨φ⟩","id","+","x + y","x + y","True"
"monogenic ⟨φ⟩","exp","+","log(exp(x) + exp(y))","\log{\left(e^{x} + e^{y} \right)}","False"
"monogenic ⟨φ⟩","x^2","+","sqrt(x**2 + y**2)","\sqrt{x^{2} + y^{2}}","False"
"monogenic ⟨φ⟩","x^3","+","(x**3 + y**3)**(1/3)","\sqrt[3]{x^{3} + y^{3}}","False"
"monogenic ⟨φ⟩","2x+3","+","x + y + 3/2","x + y + \frac{3}{2}","False"
"monogenic ⟨φ⟩","x^2","·","x*y","x y","True"
"monogenic ⟨φ⟩","exp","·","x + y","x + y","False"
"monogenic ⟨φ⟩","logit","+","x*y/(x*y + (x - 1)*(y - 1))","\frac{x y}{x y + \left(x - 1\right) \left(y - 1\right)}","False"
"Lie (ℝ,+)","translation","+","t + x + y","t + x + y","False"
"Lie (ℝ,+)","scaling","·","x*y*exp(t)","x y e^{t}","False"
"Lie (ℝ_{>0},×)","power","·","x*y","x y","True"
